窝轮名称,窝轮代码,振幅,成交量(千),距今天数,单手价格,行权价差,正股价格,打和点价差,涨跌幅
美团法兴二八购A.C,HK.18251,37.931,2400,386,150,122.6,207.6,137.6,3.33
哔哩中银一乙购A.C,HK.17432,12.5,590,147,300,431.38,638.5,446.38,-6.67
平安高盛二九购A.C,HK.27108,0,200,420,750,19.7,65.9,21.2,0
中芯汇丰一乙购A.C,HK.16031,24.138,4975,149,750,11.7,25.1,13.2,3.33
联想摩利二一购A.C,HK.22510,14.815,2080,175,600,4.1,7.2,4.4,10
恒指法巴一乙购E.C,HK.21448,0,200,147,300,4611,25389,4851,0
腾讯摩利二二购B.C,HK.23840,53.125,21100,202,1550,137.58,438.6,153.08,-3.23
腾讯瑞银二二购A.C,HK.27433,34.375,8500,202,1550,137.65,438.6,153.15,-3.23
阿里瑞银一乙购E.C,HK.27906,29.63,7540,145,310,75.98,183.1,79.08,12.9
阿里瑞信一乙购G.C,HK.11902,3.03,2000,145,310,62.1,183.1,65.2,-6.45
洋保法兴一乙购A.C,HK.15594,21.875,940,149,62,8.8,21.5,9.11,-3.23
中药瑞信一乙购A.C,HK.16819,12,320,145,155,2.49,6.5,2.64,19.35
联想汇丰一乙购D.C,HK.19209,16.667,480,149,620,2.38,7.2,2.69,3.23
小米高盛一乙购A.C,HK.15700,12,4658,145,64,15.78,25.1,16.1,21.87
美团瑞通二八购A.C,HK.20812,22.222,420,386,160,122.6,207.6,138.6,-12.5
平安瑞通一乙购B.C,HK.15703,22.222,20550,146,800,9.9,65.9,11.5,15.63
